item,domain,truth,failing_param,summary_words,ret_policy,fail_retained,any_policy_lost,gist_flag,decision,decision_correct,which,which_raw,which_abstain,which_abstain_raw,which_correct,which_confab,abstained,repair_param,repair_ok,repair_specific,nn_decision,nn_param,nn_decision_correct,nn_param_correct,incoherent
v4item16,vaccine lot release,DENIED,diluent conductivity,11,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,stability composite score,False,True,DENIED,NONE,True,False,True
v4item17,bridge load test,APPROVED,,13,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,vibration amplitude,True,True,DENIED,,False,False,True
v4item18,satellite launch,APPROVED,,9,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,fairing pressure differential,True,True,DENIED,,False,False,True
v4item19,chemical batch release,APPROVED,,22,0.3333333333333333,,True,False,APPROVED,True,particulate count index,particulate count index,catalyst moisture content,catalyst moisture content,False,True,False,particulate count index,False,True,DENIED,NONE,False,True,False
v4item20,rail switch deployment,DENIED,interlock relay voltage,34,1.0,True,False,False,DENIED,True,interlock relay voltage,interlock relay voltage,interlock relay voltage,interlock relay voltage,True,False,False,track gauge deviation,False,True,DENIED,,True,False,False
v4item21,data-center failover,DENIED,battery string impedance,10,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,rack inlet temperature,False,True,DENIED,NONE,True,False,True
v4item22,vaccine lot release,APPROVED,,19,0.6666666666666666,,True,True,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,adjuvant concentration ratio,True,True,DENIED,,False,False,False
v4item23,bridge load test,APPROVED,,39,1.0,,False,False,APPROVED,True,cable tension uniformity,cable tension uniformity,cable tension uniformity,cable tension uniformity,False,True,False,cable tension uniformity,False,True,DENIED,anchor bolt torque,False,False,False
v4item24,satellite launch,DENIED,fairing pressure differential,11,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,avionics bus load,False,True,DENIED,,True,False,True
v4item25,chemical batch release,APPROVED,,15,0.3333333333333333,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,nitrogen blanket pressure,True,True,DENIED,NONE,False,True,True
v4item26,rail switch deployment,DENIED,signal alignment error,28,1.0,True,False,False,DENIED,True,track gauge deviation,track gauge deviation,track gauge deviation,track gauge deviation,False,True,False,track gauge deviation,False,True,DENIED,,True,False,False
v4item27,data-center failover,DENIED,cold aisle humidity,17,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,storage array rebuild margin,False,True,DENIED,NONE,True,False,True
v4item28,vaccine lot release,DENIED,stability composite score,21,0.6666666666666666,True,True,True,DENIED,True,stability composite score,stability,stability composite score,stability,True,False,False,stability composite score,True,True,DENIED,,True,False,False
v4item29,bridge load test,DENIED,cable tension uniformity,18,0.3333333333333333,True,True,False,DENIED,True,cable tension uniformity,tension,cable tension uniformity,tension,True,False,False,cable tension uniformity,True,True,DENIED,NONE,True,False,False
v4item30,satellite launch,APPROVED,,15,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,guidance regression pass rate,True,True,DENIED,,False,False,True
v4item31,chemical batch release,APPROVED,,20,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,condenser outlet temperature,True,True,DENIED,condenser outlet temperature,False,False,False
v4item32,rail switch deployment,APPROVED,,36,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,crossing angle tolerance,True,True,DENIED,NONE,False,True,False
v4item33,data-center failover,DENIED,chilled water supply temperature,36,1.0,True,False,True,DENIED,True,chilled water supply temperature,chilled water supply temperature,chilled water supply temperature,chilled water,True,False,False,chilled water supply temperature,True,True,DENIED,NONE,True,False,False
v4item34,vaccine lot release,DENIED,lyophilization residual moisture,18,0.6666666666666666,True,True,False,DENIED,True,lyophilization residual moisture,moisture,lyophilization residual moisture,moisture,True,False,False,lyophilization residual moisture,True,True,DENIED,NONE,True,False,False
v4item35,bridge load test,APPROVED,,24,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,maximum crack width,True,True,DENIED,,False,False,False
v4item36,satellite launch,DENIED,guidance regression pass rate,10,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,star tracker residual,False,True,DENIED,NONE,True,False,True
v4item37,chemical batch release,DENIED,yield efficiency,15,0.3333333333333333,True,True,False,DENIED,True,yield efficiency,yield efficiency,yield efficiency,yield efficiency,True,False,False,yield efficiency,True,True,DENIED,NONE,True,False,False
v4item38,rail switch deployment,DENIED,track gauge deviation,19,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,interlock relay voltage,False,True,DENIED,,True,False,True
v4item39,data-center failover,DENIED,transfer switch actuation time,15,0.6666666666666666,True,True,True,DENIED,True,transfer switch actuation time,transfer,transfer switch actuation time,transfer,True,False,False,transfer switch actuation time,True,True,DENIED,transfer switch actuation time,True,True,False
v4item40,vaccine lot release,DENIED,lyophilization residual moisture,31,0.6666666666666666,True,True,False,DENIED,True,lyophilization residual moisture,moisture,lyophilization residual moisture,moisture,True,False,False,lyophilization residual moisture,True,True,DENIED,,True,False,False
v4item41,bridge load test,APPROVED,,19,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,load distribution factor,True,True,DENIED,,False,False,False
v4item42,satellite launch,DENIED,thermal blanket coverage,17,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,thermal blanket coverage,True,True,DENIED,NONE,True,False,True
v4item43,chemical batch release,DENIED,QA composite audit score,37,1.0,True,False,False,DENIED,True,QA composite audit score,QA composite audit score,QA composite audit score,QA,True,False,False,QA composite audit score,True,True,DENIED,,True,False,False
v4item44,rail switch deployment,APPROVED,,16,0.3333333333333333,,True,False,DENIED,False,signal alignment error,signal alignment error,NONE,NONE,False,True,False,signal alignment error,True,True,DENIED,,False,False,False
v4item45,data-center failover,APPROVED,,26,0.0,,True,True,DENIED,False,battery string impedance,impedance,battery string impedance,impedance,False,True,False,battery string impedance,False,True,DENIED,NONE,False,True,False
v4item46,vaccine lot release,DENIED,lyophilization residual moisture,14,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,lyophilization residual moisture,True,True,DENIED,NONE,True,False,True
v4item47,bridge load test,DENIED,rebar cover depth,27,0.6666666666666666,True,True,False,DENIED,True,rebar cover depth,rebar cover depth,rebar cover depth,rebar cover depth,True,False,False,rebar cover depth,True,True,DENIED,NONE,True,False,False
v4item48,satellite launch,DENIED,lead operator certification rating,28,1.0,True,False,False,DENIED,True,lead operator certification rating,lead operator certification rating,lead operator certification rating,2.9 cert,True,False,False,lead operator certification rating,True,True,DENIED,,True,False,False
v4item49,chemical batch release,DENIED,catalyst moisture content,17,0.3333333333333333,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,yield efficiency,False,True,DENIED,NONE,True,False,True
v4item50,rail switch deployment,APPROVED,,11,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,lubrication film thickness,False,True,DENIED,sleeper spacing variance,False,False,True
v4item51,data-center failover,APPROVED,,20,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,standby CPU headroom,False,True,DENIED,NONE,False,True,True
v4item52,vaccine lot release,APPROVED,,33,1.0,,False,False,APPROVED,True,adjuvant concentration ratio,adjuvant,NONE,NONE,False,True,False,adjuvant concentration ratio,False,True,DENIED,,False,False,False
v4item53,bridge load test,DENIED,grout compressive margin,18,0.3333333333333333,False,True,False,APPROVED,False,grout compressive margin,grout compressive margin,NONE,NONE,True,False,False,vibration amplitude,False,True,DENIED,NONE,True,False,False
v4item54,satellite launch,APPROVED,,23,0.3333333333333333,,True,False,DENIED,False,avionics bus load,bus,avionics bus load,bus,False,True,False,avionics bus load,False,True,DENIED,NONE,False,True,False
v4item55,chemical batch release,DENIED,batch purity assay,22,1.0,True,False,False,DENIED,True,batch purity assay,purity,batch purity assay,purity,True,False,False,batch purity assay,True,True,DENIED,NONE,True,False,False
v4item56,rail switch deployment,APPROVED,,21,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,ballast compaction index,True,True,DENIED,,False,False,False
v4item57,data-center failover,APPROVED,,13,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,cold aisle humidity,False,True,DENIED,,False,False,True
v4item58,vaccine lot release,APPROVED,,18,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,label reconciliation rate,True,True,DENIED,,False,False,True
v4item59,bridge load test,DENIED,deck temperature differential,18,0.0,False,True,False,DENIED,True,expansion joint gap,expansion joint gap,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,True,pier settlement reading,False,True,DENIED,expansion joint gap,True,False,False
