model,arm,item,domain,truth,failing,realized_words,n_values,fail_retained,policy_survival,decision,decision_correct,which,which_raw,which_correct,which_unmatched,whichab,whichab_raw,whichab_correct,whichab_abstain,whichab_none,incoherent,nn_decision
grok,ctrl,ops_incident-015,ops_incident,DENIED,seal torque retention,41,12,True,1.0,DENIED,True,seal torque retention,seal,True,False,seal torque retention,seal torque retention,True,False,False,False,DENIED
grok,ctrl,ops_incident-016,ops_incident,DENIED,coolant loop flow rate,18,3,False,0.3333333333333333,DENIED,True,NONE,NONE,False,False,NONE,NONE,False,False,True,True,DENIED
grok,ctrl,ops_incident-017,ops_incident,DENIED,star tracker residual,13,0,False,0.0,DENIED,True,NONE,NONE,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-018,ops_incident,APPROVED,,10,0,,0.0,DENIED,False,NONE,NONE,True,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-019,ops_incident,APPROVED,,19,3,,0.3333333333333333,DENIED,False,coolant loop flow rate,coolant loop flow rate,False,False,coolant loop flow rate,coolant loop flow rate,False,False,False,False,DENIED
grok,ctrl,ops_incident-020,ops_incident,APPROVED,,13,1,,0.0,DENIED,False,NONE,NONE,True,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-021,ops_incident,APPROVED,,24,8,,0.6666666666666666,APPROVED,True,gyro drift rate,gyro drift rate,False,False,gyro drift rate,gyro drift rate,False,False,False,False,DENIED
grok,ctrl,ops_incident-022,ops_incident,DENIED,thermal blanket coverage,36,12,True,1.0,DENIED,True,thermal blanket coverage,thermal,True,False,thermal blanket coverage,thermal,True,False,False,False,DENIED
grok,ctrl,ops_incident-023,ops_incident,APPROVED,,15,4,,0.3333333333333333,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ops_incident-024,ops_incident,DENIED,telemetry downlink margin,39,12,True,1.0,DENIED,True,telemetry downlink margin,telemetry,True,False,telemetry downlink margin,telemetry,True,False,False,False,DENIED
grok,ctrl,ops_incident-025,ops_incident,APPROVED,,35,11,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ops_incident-026,ops_incident,DENIED,gyro drift rate,11,0,False,0.0,DENIED,True,NONE,NONE,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-027,ops_incident,DENIED,battery bus impedance,36,12,True,1.0,DENIED,True,coolant loop flow rate,coolant loop flow rate,False,False,coolant loop flow rate,coolant loop flow rate,False,False,False,False,DENIED
grok,ctrl,ops_incident-028,ops_incident,DENIED,star tracker residual,40,12,True,1.0,DENIED,True,star tracker residual,star tracker residual,True,False,star tracker residual,star tracker residual,True,False,False,False,DENIED
grok,ctrl,ops_incident-029,ops_incident,APPROVED,,22,5,,0.3333333333333333,DENIED,False,NONE,NONE,True,False,NONE,NONE,True,False,True,True,DENIED
grok,ctrl,clinical_enroll-000,clinical_enroll,DENIED,systolic blood pressure,35,12,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,UNMATCHED,SBP,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-001,clinical_enroll,DENIED,triglycerides,33,12,True,1.0,APPROVED,False,UNMATCHED,TG,False,True,UNMATCHED,TG,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-002,clinical_enroll,DENIED,systolic blood pressure,18,4,False,0.3333333333333333,APPROVED,False,NONE,NONE,False,False,NONE,NONE,False,False,True,False,DENIED
grok,ctrl,clinical_enroll-003,clinical_enroll,DENIED,creatinine clearance,36,12,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,UNMATCHED,CrCl,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-004,clinical_enroll,APPROVED,,36,12,,1.0,APPROVED,True,UNMATCHED,CrCl,False,True,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-005,clinical_enroll,DENIED,left ventricular ejection fraction,33,11,True,1.0,DENIED,True,UNMATCHED,LVEF,False,True,UNMATCHED,LVEF,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-006,clinical_enroll,APPROVED,,34,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-007,clinical_enroll,DENIED,systolic blood pressure,32,12,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,UNMATCHED,SBP,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-008,clinical_enroll,APPROVED,,35,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-009,clinical_enroll,APPROVED,,35,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-010,clinical_enroll,APPROVED,,19,5,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-011,clinical_enroll,DENIED,estimated glomerular filtration rate,30,12,True,1.0,DENIED,True,UNMATCHED,eGFR,False,True,UNMATCHED,eGFR,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-012,clinical_enroll,APPROVED,,33,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-013,clinical_enroll,DENIED,creatinine clearance,32,12,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,UNMATCHED,CrCl,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-014,clinical_enroll,APPROVED,,31,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-015,clinical_enroll,APPROVED,,19,4,,0.3333333333333333,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-016,clinical_enroll,APPROVED,,34,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-017,clinical_enroll,APPROVED,,19,3,,0.3333333333333333,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-018,clinical_enroll,APPROVED,,30,10,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-019,clinical_enroll,APPROVED,,34,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-020,clinical_enroll,DENIED,hemoglobin,34,12,True,1.0,DENIED,True,UNMATCHED,Hb,False,True,UNMATCHED,Hb,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-021,clinical_enroll,APPROVED,,36,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-022,clinical_enroll,DENIED,systolic blood pressure,37,12,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,UNMATCHED,SBP,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-023,clinical_enroll,APPROVED,,33,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,clinical_enroll-024,clinical_enroll,DENIED,triglycerides,33,12,True,1.0,DENIED,True,UNMATCHED,TG,False,True,UNMATCHED,TG,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-025,clinical_enroll,DENIED,body mass index,44,12,True,1.0,DENIED,True,UNMATCHED,BMI,False,True,UNMATCHED,BMI,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-026,clinical_enroll,DENIED,fasting glucose,31,10,True,1.0,DENIED,True,fasting glucose,glucose,True,False,fasting glucose,glucose,True,False,False,False,DENIED
grok,ctrl,clinical_enroll-027,clinical_enroll,APPROVED,,31,10,,0.3333333333333333,DENIED,False,creatinine clearance,creatinine clearance,False,False,creatinine clearance,creatinine clearance,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-028,clinical_enroll,DENIED,creatinine clearance,28,10,False,0.6666666666666666,DENIED,True,UNMATCHED,eGFR,False,True,UNMATCHED,eGFR,False,False,False,False,DENIED
grok,ctrl,clinical_enroll-029,clinical_enroll,DENIED,fasting glucose,33,12,True,1.0,DENIED,True,fasting glucose,glucose,True,False,fasting glucose,glucose,True,False,False,False,DENIED
grok,ctrl,ci_release-000,ci_release,APPROVED,,18,10,,0.6666666666666666,DENIED,False,error budget remaining,error budget remaining,False,False,error budget remaining,error budget remaining,False,False,False,False,DENIED
grok,ctrl,ci_release-001,ci_release,APPROVED,,34,14,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ci_release-002,ci_release,DENIED,line coverage,15,8,True,1.0,DENIED,True,line coverage,line coverage,True,False,line coverage,line coverage,True,False,False,False,DENIED
grok,ctrl,ci_release-003,ci_release,DENIED,open severity-one defects,16,9,True,0.6666666666666666,DENIED,True,open severity-one defects,open severity-one defects,True,False,open severity-one defects,open severity-one defects,True,False,False,False,DENIED
grok,ctrl,ci_release-004,ci_release,DENIED,flaky test count,34,14,True,1.0,DENIED,True,flaky test count,flaky test count,True,False,rollback drill success,rollback drill success,False,False,False,False,DENIED
grok,ctrl,ci_release-005,ci_release,DENIED,rollback drill success,27,11,True,0.6666666666666666,DENIED,True,rollback drill success,rollback drill success,True,False,rollback drill success,rollback drill success,True,False,False,False,DENIED
grok,ctrl,ci_release-006,ci_release,DENIED,dependency audit findings,17,9,True,0.6666666666666666,DENIED,True,dependency audit findings,dependency audit findings,True,False,error budget remaining,error budget remaining,False,False,False,False,DENIED
grok,ctrl,ci_release-007,ci_release,APPROVED,,16,8,,0.0,DENIED,False,build reproducibility,build reproducibility,False,False,build reproducibility,build reproducibility,False,False,False,False,DENIED
grok,ctrl,ci_release-008,ci_release,APPROVED,,20,10,,0.3333333333333333,DENIED,False,line coverage,line coverage,False,False,line coverage,line coverage,False,False,False,False,DENIED
grok,ctrl,ci_release-009,ci_release,DENIED,bundle size,19,9,True,0.6666666666666666,DENIED,True,bundle size,bundle size,True,False,bundle size,bundle size,True,False,False,False,DENIED
grok,ctrl,ci_release-010,ci_release,APPROVED,,28,11,,0.6666666666666666,DENIED,False,dependency audit findings,dependency audit findings,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,False,DENIED
grok,ctrl,ci_release-011,ci_release,APPROVED,,31,15,,1.0,APPROVED,True,open severity-one defects,open severity-one defects,False,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ci_release-012,ci_release,DENIED,cold start time,34,14,True,1.0,DENIED,True,cold start time,cold start time,True,False,cold start time,cold start time,True,False,False,False,DENIED
grok,ctrl,ci_release-013,ci_release,APPROVED,,19,8,,0.3333333333333333,DENIED,False,dependency audit findings,dependency audit findings,False,False,dependency audit findings,dependency audit findings,False,False,False,False,DENIED
grok,ctrl,ci_release-014,ci_release,APPROVED,,28,11,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ci_release-015,ci_release,APPROVED,,26,12,,0.6666666666666666,DENIED,False,error budget remaining,error budget remaining,False,False,error budget remaining,52% budget,False,False,False,False,DENIED
grok,ctrl,ci_release-016,ci_release,DENIED,error budget remaining,24,13,True,1.0,DENIED,True,unit test pass rate,tests,False,False,unit test pass rate,test pass rate,False,False,False,False,DENIED
grok,ctrl,ci_release-017,ci_release,DENIED,cold start time,37,13,True,1.0,APPROVED,False,line coverage,line coverage,False,False,line coverage,line coverage,False,False,False,False,DENIED
grok,ctrl,ci_release-018,ci_release,APPROVED,,42,15,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ci_release-019,ci_release,APPROVED,,20,10,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ci_release-020,ci_release,DENIED,dependency audit findings,22,13,True,1.0,APPROVED,False,NONE,NONE,False,False,NONE,NONE,False,False,True,False,DENIED
grok,ctrl,ci_release-021,ci_release,APPROVED,,25,10,,0.3333333333333333,DENIED,False,line coverage,line coverage,False,False,line coverage,line coverage,False,False,False,False,DENIED
grok,ctrl,ci_release-022,ci_release,APPROVED,,19,10,,0.3333333333333333,DENIED,False,error budget remaining,error budget remaining,False,False,error budget remaining,error budget remaining,False,False,False,False,DENIED
grok,ctrl,ci_release-023,ci_release,APPROVED,,34,12,,0.6666666666666666,DENIED,False,error budget remaining,error budget remaining,False,False,error budget remaining,error budget remaining,False,False,False,False,DENIED
grok,ctrl,ci_release-024,ci_release,DENIED,open severity-one defects,14,6,True,0.3333333333333333,DENIED,True,open severity-one defects,open severity-one defects,True,False,open severity-one defects,open severity-one defects,True,False,False,False,DENIED
grok,ctrl,ci_release-025,ci_release,APPROVED,,24,11,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ci_release-026,ci_release,DENIED,line coverage,35,14,True,1.0,DENIED,True,line coverage,coverage,True,False,line coverage,coverage,True,False,False,False,DENIED
grok,ctrl,ci_release-027,ci_release,DENIED,open severity-one defects,27,10,True,0.3333333333333333,DENIED,True,unit test pass rate,unit test pass rate,False,False,unit test pass rate,unit test pass rate,False,False,False,False,DENIED
grok,ctrl,ci_release-028,ci_release,DENIED,flaky test count,32,13,True,0.6666666666666666,DENIED,True,flaky test count,flaky test count,True,False,flaky test count,flaky test count,True,False,False,False,DENIED
grok,ctrl,ci_release-029,ci_release,DENIED,peak heap usage,15,8,False,0.3333333333333333,DENIED,True,rollback drill success,rollback drill success,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,False,DENIED
grok,vd,ops_incident-000,ops_incident,DENIED,umbilical release delay,31,11,False,0.6666666666666666,APPROVED,False,NONE,NONE,False,False,NONE,NONE,False,False,True,False,DENIED
grok,vd,ops_incident-001,ops_incident,DENIED,seal torque retention,36,12,True,1.0,DENIED,True,seal torque retention,seal torque,True,False,seal torque retention,seal torque,True,False,False,False,DENIED
grok,vd,ops_incident-002,ops_incident,DENIED,seal torque retention,34,11,True,1.0,DENIED,True,seal torque retention,seal torque retention,True,False,seal torque retention,seal torque,True,False,False,False,DENIED
grok,vd,ops_incident-003,ops_incident,APPROVED,,14,5,,0.3333333333333333,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-004,ops_incident,APPROVED,,36,12,,1.0,APPROVED,True,reserve charge margin,reserve,False,False,reserve charge margin,reserve,False,False,False,False,DENIED
grok,vd,ops_incident-005,ops_incident,DENIED,reserve charge margin,37,12,True,1.0,DENIED,True,reserve charge margin,reserve,True,False,reserve charge margin,reserve,True,False,False,False,DENIED
grok,vd,ops_incident-006,ops_incident,APPROVED,,31,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-007,ops_incident,APPROVED,,36,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-008,ops_incident,DENIED,coolant loop flow rate,34,12,True,1.0,DENIED,True,coolant loop flow rate,coolant,True,False,coolant loop flow rate,coolant,True,False,False,False,DENIED
grok,vd,ops_incident-009,ops_incident,DENIED,battery bus impedance,33,12,True,1.0,DENIED,True,battery bus impedance,impedance,True,False,battery bus impedance,impedance,True,False,False,False,DENIED
grok,vd,ops_incident-010,ops_incident,APPROVED,,33,12,,1.0,APPROVED,True,reserve charge margin,charge,False,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-011,ops_incident,APPROVED,,30,11,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-012,ops_incident,APPROVED,,29,9,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-013,ops_incident,APPROVED,,34,11,,1.0,APPROVED,True,guidance solution confidence,guidance,False,False,guidance solution confidence,guidance,False,False,False,False,DENIED
grok,vd,ops_incident-014,ops_incident,DENIED,particulate count,35,12,True,1.0,DENIED,True,particulate count,particulate,True,False,particulate count,particulate,True,False,False,False,DENIED
grok,vd,ops_incident-015,ops_incident,DENIED,seal torque retention,42,12,True,1.0,DENIED,True,seal torque retention,seal,True,False,seal torque retention,seal,True,False,False,False,DENIED
grok,vd,ops_incident-016,ops_incident,DENIED,coolant loop flow rate,25,8,True,0.6666666666666666,DENIED,True,coolant loop flow rate,coolant,True,False,coolant loop flow rate,coolant,True,False,False,False,DENIED
grok,vd,ops_incident-017,ops_incident,DENIED,star tracker residual,35,12,True,1.0,DENIED,True,star tracker residual,star,True,False,star tracker residual,star,True,False,False,False,DENIED
grok,vd,ops_incident-018,ops_incident,APPROVED,,35,12,,1.0,APPROVED,True,guidance solution confidence,guidance,False,False,guidance solution confidence,guidance,False,False,False,False,DENIED
grok,vd,ops_incident-019,ops_incident,APPROVED,,35,12,,1.0,APPROVED,True,coolant loop flow rate,coolant,False,False,coolant loop flow rate,coolant,False,False,False,False,DENIED
grok,vd,ops_incident-020,ops_incident,APPROVED,,32,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-021,ops_incident,APPROVED,,33,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-022,ops_incident,DENIED,thermal blanket coverage,34,12,True,1.0,DENIED,True,thermal blanket coverage,thermal,True,False,thermal blanket coverage,thermal,True,False,False,False,DENIED
grok,vd,ops_incident-023,ops_incident,APPROVED,,34,10,,0.3333333333333333,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-024,ops_incident,DENIED,telemetry downlink margin,33,12,True,1.0,DENIED,True,telemetry downlink margin,downlink,True,False,telemetry downlink margin,downlink,True,False,False,False,DENIED
grok,vd,ops_incident-025,ops_incident,APPROVED,,38,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,ops_incident-026,ops_incident,DENIED,gyro drift rate,37,12,True,1.0,DENIED,True,gyro drift rate,gyro,True,False,gyro drift rate,gyro,True,False,False,False,DENIED
grok,vd,ops_incident-027,ops_incident,DENIED,battery bus impedance,34,12,True,1.0,DENIED,True,battery bus impedance,impedance,True,False,battery bus impedance,impedance,True,False,False,False,DENIED
grok,vd,ops_incident-028,ops_incident,DENIED,star tracker residual,34,12,True,1.0,DENIED,True,star tracker residual,star tracker,True,False,star tracker residual,star tracker,True,False,False,False,DENIED
grok,vd,ops_incident-029,ops_incident,APPROVED,,43,12,,1.0,APPROVED,True,guidance solution confidence,guidance,False,False,guidance solution confidence,guidance,False,False,False,False,DENIED
grok,vd,clinical_enroll-000,clinical_enroll,DENIED,systolic blood pressure,34,12,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,UNMATCHED,SBP,False,False,False,False,DENIED
grok,vd,clinical_enroll-001,clinical_enroll,DENIED,triglycerides,13,5,True,0.3333333333333333,DENIED,True,UNMATCHED,TG,False,True,UNMATCHED,TG,False,False,False,False,DENIED
grok,vd,clinical_enroll-002,clinical_enroll,DENIED,systolic blood pressure,34,12,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,UNMATCHED,SBP,False,False,False,False,DENIED
grok,vd,clinical_enroll-003,clinical_enroll,DENIED,creatinine clearance,35,12,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,UNMATCHED,CrCl,False,False,False,False,DENIED
grok,vd,clinical_enroll-004,clinical_enroll,APPROVED,,14,5,,0.3333333333333333,DENIED,False,NONE,NONE,True,False,NONE,NONE,True,False,True,True,DENIED
grok,vd,clinical_enroll-005,clinical_enroll,DENIED,left ventricular ejection fraction,34,12,True,1.0,DENIED,True,UNMATCHED,LVEF,False,True,UNMATCHED,LVEF,False,False,False,False,DENIED
grok,vd,clinical_enroll-006,clinical_enroll,APPROVED,,33,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-007,clinical_enroll,DENIED,systolic blood pressure,33,12,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,UNMATCHED,SBP,False,False,False,False,DENIED
grok,vd,clinical_enroll-008,clinical_enroll,APPROVED,,23,8,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-009,clinical_enroll,APPROVED,,34,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-010,clinical_enroll,APPROVED,,35,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-011,clinical_enroll,DENIED,estimated glomerular filtration rate,33,12,True,1.0,DENIED,True,UNMATCHED,eGFR,False,True,UNMATCHED,eGFR,False,False,False,False,DENIED
grok,vd,clinical_enroll-012,clinical_enroll,APPROVED,,35,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-013,clinical_enroll,DENIED,creatinine clearance,36,12,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,UNMATCHED,CrCl,False,False,False,False,DENIED
grok,vd,clinical_enroll-014,clinical_enroll,APPROVED,,18,6,,0.0,DENIED,False,NONE,NONE,True,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,vd,clinical_enroll-015,clinical_enroll,APPROVED,,30,10,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-016,clinical_enroll,APPROVED,,33,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-017,clinical_enroll,APPROVED,,33,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-018,clinical_enroll,APPROVED,,15,5,,0.3333333333333333,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-019,clinical_enroll,APPROVED,,19,7,,0.0,DENIED,False,NONE,NONE,True,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,vd,clinical_enroll-020,clinical_enroll,DENIED,hemoglobin,33,12,True,1.0,DENIED,True,UNMATCHED,Hb,False,True,UNMATCHED,Hb,False,False,False,False,DENIED
grok,vd,clinical_enroll-021,clinical_enroll,APPROVED,,34,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-022,clinical_enroll,DENIED,systolic blood pressure,35,12,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,UNMATCHED,SBP,False,False,False,False,DENIED
grok,vd,clinical_enroll-023,clinical_enroll,APPROVED,,22,8,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,vd,clinical_enroll-024,clinical_enroll,DENIED,triglycerides,14,5,False,0.3333333333333333,APPROVED,False,NONE,NONE,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,False,DENIED
grok,vd,clinical_enroll-025,clinical_enroll,DENIED,body mass index,34,12,True,1.0,DENIED,True,UNMATCHED,BMI,False,True,UNMATCHED,BMI,False,False,False,False,DENIED
grok,vd,clinical_enroll-026,clinical_enroll,DENIED,fasting glucose,34,12,True,1.0,DENIED,True,UNMATCHED,glu,False,True,UNMATCHED,glu,False,False,False,False,DENIED
grok,vd,clinical_enroll-027,clinical_enroll,APPROVED,,33,11,,0.6666666666666666,APPROVED,True,UNMATCHED,eGFR,False,True,UNMATCHED,eGFR,False,False,False,False,DENIED
grok,vd,clinical_enroll-028,clinical_enroll,DENIED,creatinine clearance,33,12,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,UNMATCHED,CrCl,False,False,False,False,DENIED
