budget,model,arm,item,truth,failing,realized_words,fail_retained,policy_survival,decision,decision_correct,which,which_raw,which_correct,which_unmatched,incoherent,nn_decision
40w,grok,control,ops_incident-020,APPROVED,,52,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-021,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-022,DENIED,thermal blanket coverage,46,True,1.0,DENIED,True,thermal blanket coverage,thermal,True,False,False,DENIED
40w,grok,control,ops_incident-023,APPROVED,,46,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-024,DENIED,telemetry downlink margin,41,True,1.0,DENIED,True,telemetry downlink margin,telemetry,True,False,False,DENIED
40w,grok,control,ops_incident-025,APPROVED,,49,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-026,DENIED,gyro drift rate,55,True,1.0,DENIED,True,gyro drift rate,gyro,True,False,False,DENIED
40w,grok,control,ops_incident-027,DENIED,battery bus impedance,53,True,1.0,DENIED,True,battery bus impedance,battery impedance,True,False,False,DENIED
40w,grok,control,ops_incident-028,DENIED,star tracker residual,41,True,1.0,DENIED,True,star tracker residual,star tracker,True,False,False,DENIED
40w,grok,control,ops_incident-029,APPROVED,,54,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-000,DENIED,systolic blood pressure,43,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,grok,control,clinical_enroll-001,DENIED,triglycerides,36,True,1.0,DENIED,True,UNMATCHED,TG,False,True,False,DENIED
40w,grok,control,clinical_enroll-002,DENIED,systolic blood pressure,50,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,grok,control,clinical_enroll-003,DENIED,creatinine clearance,44,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,False,DENIED
40w,grok,control,clinical_enroll-004,APPROVED,,44,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-005,DENIED,left ventricular ejection fraction,37,True,1.0,DENIED,True,UNMATCHED,LVEF,False,True,False,DENIED
40w,grok,control,clinical_enroll-006,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-007,DENIED,systolic blood pressure,41,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,grok,control,clinical_enroll-008,APPROVED,,51,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-009,APPROVED,,38,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-010,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-011,DENIED,estimated glomerular filtration rate,53,True,1.0,DENIED,True,UNMATCHED,eGFR,False,True,False,DENIED
40w,grok,control,clinical_enroll-012,APPROVED,,39,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-013,DENIED,creatinine clearance,46,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,False,DENIED
40w,grok,control,clinical_enroll-014,APPROVED,,51,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-015,APPROVED,,41,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-016,APPROVED,,46,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-017,APPROVED,,39,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-018,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-019,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-020,DENIED,hemoglobin,37,True,1.0,DENIED,True,UNMATCHED,Hb,False,True,False,DENIED
40w,grok,control,clinical_enroll-021,APPROVED,,46,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-022,DENIED,systolic blood pressure,47,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,grok,control,clinical_enroll-023,APPROVED,,49,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,clinical_enroll-024,DENIED,triglycerides,43,True,1.0,DENIED,True,triglycerides,triglycerides,True,False,False,DENIED
40w,grok,control,clinical_enroll-025,DENIED,body mass index,53,True,1.0,DENIED,True,UNMATCHED,BMI,False,True,False,DENIED
40w,grok,control,clinical_enroll-026,DENIED,fasting glucose,47,True,1.0,DENIED,True,fasting glucose,gluc,True,False,False,DENIED
40w,grok,control,clinical_enroll-027,APPROVED,,36,,1.0,APPROVED,True,UNMATCHED,eGFR,False,True,False,DENIED
40w,grok,control,clinical_enroll-028,DENIED,creatinine clearance,41,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,False,DENIED
40w,grok,control,clinical_enroll-029,DENIED,fasting glucose,48,True,1.0,DENIED,True,fasting glucose,fasting glucose,True,False,False,DENIED
40w,grok,control,ci_release-000,APPROVED,,39,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ci_release-001,APPROVED,,42,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ci_release-002,DENIED,line coverage,45,True,1.0,DENIED,True,line coverage,line coverage,True,False,False,DENIED
40w,grok,control,ci_release-003,DENIED,open severity-one defects,44,True,1.0,DENIED,True,open severity-one defects,open severity-one defects,True,False,False,DENIED
40w,grok,control,ci_release-004,DENIED,flaky test count,46,True,1.0,APPROVED,False,flaky test count,flaky test count,True,False,False,DENIED
40w,grok,control,ci_release-005,DENIED,rollback drill success,42,True,0.6666666666666666,DENIED,True,rollback drill success,rollback,True,False,False,DENIED
40w,grok,control,ci_release-006,DENIED,dependency audit findings,36,True,1.0,DENIED,True,dependency audit findings,dependency audit findings,True,False,False,DENIED
40w,grok,control,ci_release-007,APPROVED,,42,,0.6666666666666666,APPROVED,True,unit test pass rate,unit test pass rate,False,False,False,DENIED
40w,grok,control,ci_release-008,APPROVED,,48,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ci_release-009,DENIED,bundle size,49,True,1.0,DENIED,True,bundle size,bundle,True,False,False,DENIED
40w,grok,control,ci_release-010,APPROVED,,42,,0.3333333333333333,DENIED,False,unit test pass rate,unit test pass rate,False,False,False,DENIED
40w,grok,control,ci_release-011,APPROVED,,44,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ci_release-012,DENIED,cold start time,49,True,1.0,DENIED,True,cold start time,cold start time,True,False,False,DENIED
40w,grok,control,ci_release-013,APPROVED,,45,,0.6666666666666666,APPROVED,True,rollback drill success,rollback drill success,False,False,False,DENIED
40w,grok,control,ci_release-014,APPROVED,,42,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ci_release-015,APPROVED,,45,,1.0,DENIED,False,error budget remaining,error budget remaining,False,False,False,DENIED
40w,grok,control,ci_release-016,DENIED,error budget remaining,46,True,1.0,DENIED,True,unit test pass rate,unit tests,False,False,False,DENIED
40w,grok,control,ci_release-017,DENIED,cold start time,50,True,1.0,DENIED,True,cold start time,cold-start,True,False,False,DENIED
40w,grok,control,ci_release-018,APPROVED,,49,,1.0,APPROVED,True,flaky test count,flaky tests,False,False,False,DENIED
40w,grok,control,ci_release-019,APPROVED,,43,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ci_release-020,DENIED,dependency audit findings,48,True,1.0,DENIED,True,dependency audit findings,dependency audit findings,True,False,False,DENIED
40w,grok,control,ci_release-021,APPROVED,,42,,1.0,DENIED,False,line coverage,coverage,False,False,False,DENIED
40w,grok,control,ci_release-022,APPROVED,,43,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ci_release-023,APPROVED,,42,,0.6666666666666666,APPROVED,True,error budget remaining,error budget remaining,False,False,False,DENIED
40w,grok,control,ci_release-024,DENIED,open severity-one defects,47,True,0.6666666666666666,DENIED,True,open severity-one defects,open severity-one defects,True,False,False,DENIED
40w,grok,control,ci_release-025,APPROVED,,39,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ci_release-026,DENIED,line coverage,37,True,1.0,DENIED,True,line coverage,coverage,True,False,False,DENIED
40w,grok,control,ci_release-027,DENIED,open severity-one defects,43,True,0.6666666666666666,DENIED,True,unit test pass rate,unit test pass rate,False,False,False,DENIED
40w,grok,control,ci_release-028,DENIED,flaky test count,40,True,0.6666666666666666,APPROVED,False,flaky test count,flaky test count,True,False,False,DENIED
40w,grok,control,ci_release-029,DENIED,peak heap usage,42,True,0.6666666666666666,DENIED,True,peak heap usage,heap,True,False,False,DENIED
40w,grok,fusion,ops_incident-000,DENIED,umbilical release delay,64,True,1.0,APPROVED,False,NONE,NONE,False,False,False,DENIED
40w,grok,fusion,ops_incident-001,DENIED,seal torque retention,58,True,1.0,DENIED,True,seal torque retention,seal torque,True,False,False,DENIED
40w,grok,fusion,ops_incident-002,DENIED,seal torque retention,49,True,1.0,DENIED,True,seal torque retention,seal torque retention,True,False,False,DENIED
40w,grok,fusion,ops_incident-003,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-004,APPROVED,,87,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-005,DENIED,reserve charge margin,82,True,1.0,DENIED,True,reserve charge margin,reserve charge,True,False,False,DENIED
40w,grok,fusion,ops_incident-006,APPROVED,,59,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-007,APPROVED,,81,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-008,DENIED,coolant loop flow rate,58,True,1.0,DENIED,True,coolant loop flow rate,coolant,True,False,False,DENIED
40w,grok,fusion,ops_incident-009,DENIED,battery bus impedance,44,True,1.0,DENIED,True,battery bus impedance,battery impedance,True,False,False,DENIED
40w,grok,fusion,ops_incident-010,APPROVED,,55,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-011,APPROVED,,72,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-012,APPROVED,,78,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-013,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-014,DENIED,particulate count,47,True,1.0,DENIED,True,particulate count,particulate,True,False,False,DENIED
40w,grok,fusion,ops_incident-015,DENIED,seal torque retention,68,True,1.0,DENIED,True,seal torque retention,Seal torque,True,False,False,DENIED
40w,grok,fusion,ops_incident-016,DENIED,coolant loop flow rate,45,True,1.0,DENIED,True,coolant loop flow rate,coolant loop flow rate,True,False,False,DENIED
40w,grok,fusion,ops_incident-017,DENIED,star tracker residual,68,True,1.0,DENIED,True,star tracker residual,star tracker residual,True,False,False,DENIED
40w,grok,fusion,ops_incident-018,APPROVED,,57,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-019,APPROVED,,70,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-020,APPROVED,,43,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-021,APPROVED,,41,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-022,DENIED,thermal blanket coverage,101,True,1.0,DENIED,True,thermal blanket coverage,thermal blanket coverage,True,False,False,DENIED
40w,grok,fusion,ops_incident-023,APPROVED,,64,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-024,DENIED,telemetry downlink margin,43,True,1.0,DENIED,True,telemetry downlink margin,downlink margin,True,False,False,DENIED
40w,grok,fusion,ops_incident-025,APPROVED,,77,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ops_incident-026,DENIED,gyro drift rate,42,True,1.0,DENIED,True,gyro drift rate,gyro drift,True,False,False,DENIED
40w,grok,fusion,ops_incident-027,DENIED,battery bus impedance,55,True,1.0,DENIED,True,battery bus impedance,battery impedance,True,False,False,DENIED
40w,grok,fusion,ops_incident-028,DENIED,star tracker residual,66,True,1.0,DENIED,True,star tracker residual,star tracker residual,True,False,False,DENIED
40w,grok,fusion,ops_incident-029,APPROVED,,67,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-000,DENIED,systolic blood pressure,53,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-001,DENIED,triglycerides,46,True,1.0,DENIED,True,UNMATCHED,TG,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-002,DENIED,systolic blood pressure,55,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-003,DENIED,creatinine clearance,50,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-004,APPROVED,,62,,1.0,APPROVED,True,UNMATCHED,CrCl,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-005,DENIED,left ventricular ejection fraction,48,True,1.0,DENIED,True,UNMATCHED,LVEF,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-006,APPROVED,,60,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-007,DENIED,systolic blood pressure,59,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-008,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-009,APPROVED,,51,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-010,APPROVED,,62,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-011,DENIED,estimated glomerular filtration rate,52,True,1.0,DENIED,True,UNMATCHED,eGFR,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-012,APPROVED,,46,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-013,DENIED,creatinine clearance,64,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-014,APPROVED,,45,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-015,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-016,APPROVED,,52,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-017,APPROVED,,63,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-018,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-019,APPROVED,,49,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-020,DENIED,hemoglobin,51,True,1.0,DENIED,True,hemoglobin,hemoglobin,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-021,APPROVED,,51,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-022,DENIED,systolic blood pressure,56,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-023,APPROVED,,54,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-024,DENIED,triglycerides,57,True,1.0,DENIED,True,UNMATCHED,TG,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-025,DENIED,body mass index,66,True,1.0,DENIED,True,UNMATCHED,BMI,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-026,DENIED,fasting glucose,59,True,1.0,DENIED,True,fasting glucose,fasting glucose,True,False,False,DENIED
40w,grok,fusion,clinical_enroll-027,APPROVED,,47,,1.0,APPROVED,True,UNMATCHED,eGFR,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-028,DENIED,creatinine clearance,51,True,1.0,DENIED,True,UNMATCHED,CrCl,False,True,False,DENIED
40w,grok,fusion,clinical_enroll-029,DENIED,fasting glucose,57,True,1.0,DENIED,True,fasting glucose,fasting glucose,True,False,False,DENIED
40w,grok,fusion,ci_release-000,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-001,APPROVED,,45,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-002,DENIED,line coverage,71,True,1.0,DENIED,True,UNMATCHED,line cov,False,True,False,DENIED
40w,grok,fusion,ci_release-003,DENIED,open severity-one defects,46,True,1.0,DENIED,True,UNMATCHED,S1 defects,False,True,False,DENIED
40w,grok,fusion,ci_release-004,DENIED,flaky test count,54,True,1.0,DENIED,True,flaky test count,flaky tests,True,False,False,DENIED
40w,grok,fusion,ci_release-005,DENIED,rollback drill success,58,True,1.0,DENIED,True,rollback drill success,rollback drill,True,False,False,DENIED
40w,grok,fusion,ci_release-006,DENIED,dependency audit findings,63,True,1.0,DENIED,True,dependency audit findings,dependency audit,True,False,False,DENIED
40w,grok,fusion,ci_release-007,APPROVED,,66,,1.0,APPROVED,True,unit test pass rate,Unit pass rate,False,False,False,DENIED
40w,grok,fusion,ci_release-008,APPROVED,,62,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-009,DENIED,bundle size,70,True,1.0,DENIED,True,bundle size,bundle,True,False,False,DENIED
40w,grok,fusion,ci_release-010,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-011,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-012,DENIED,cold start time,47,True,1.0,APPROVED,False,cold start time,cold start,True,False,False,DENIED
40w,grok,fusion,ci_release-013,APPROVED,,55,,1.0,APPROVED,True,rollback drill success,rollback,False,False,False,DENIED
40w,grok,fusion,ci_release-014,APPROVED,,51,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-015,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-016,DENIED,error budget remaining,53,True,1.0,DENIED,True,error budget remaining,Error budget,True,False,False,DENIED
40w,grok,fusion,ci_release-017,DENIED,cold start time,51,True,1.0,DENIED,True,cold start time,cold start,True,False,False,DENIED
40w,grok,fusion,ci_release-018,APPROVED,,60,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-019,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-020,DENIED,dependency audit findings,64,True,1.0,DENIED,True,dependency audit findings,dependency findings,True,False,False,DENIED
40w,grok,fusion,ci_release-021,APPROVED,,52,,1.0,DENIED,False,line coverage,coverage,False,False,False,DENIED
40w,grok,fusion,ci_release-022,APPROVED,,49,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-023,APPROVED,,58,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-024,DENIED,open severity-one defects,59,True,1.0,DENIED,True,open severity-one defects,open severity-one defects,True,False,False,DENIED
40w,grok,fusion,ci_release-025,APPROVED,,45,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,fusion,ci_release-026,DENIED,line coverage,42,True,1.0,DENIED,True,line coverage,coverage,True,False,False,DENIED
40w,grok,fusion,ci_release-027,DENIED,open severity-one defects,52,True,1.0,DENIED,True,UNMATCHED,sev-1 defects,False,True,False,DENIED
40w,grok,fusion,ci_release-028,DENIED,flaky test count,58,True,1.0,DENIED,True,flaky test count,flaky tests,True,False,False,DENIED
40w,grok,fusion,ci_release-029,DENIED,peak heap usage,49,True,1.0,DENIED,True,peak heap usage,heap,True,False,False,DENIED
40w,haiku,control,ops_incident-000,DENIED,umbilical release delay,58,True,1.0,DENIED,True,umbilical release delay,Umbilical release delay,True,False,False,DENIED
40w,haiku,control,ops_incident-001,DENIED,seal torque retention,58,True,1.0,DENIED,True,seal torque retention,seal torque,True,False,False,DENIED
40w,haiku,control,ops_incident-002,DENIED,seal torque retention,59,False,0.0,DENIED,True,NONE,NONE,False,False,True,APPROVED
40w,haiku,control,ops_incident-003,APPROVED,,61,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,ops_incident-004,APPROVED,,61,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,ops_incident-005,DENIED,reserve charge margin,55,True,1.0,DENIED,True,reserve charge margin,reserve charge margin,True,False,False,DENIED
40w,haiku,control,ops_incident-006,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,control,ops_incident-007,APPROVED,,60,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,ops_incident-008,DENIED,coolant loop flow rate,45,True,0.6666666666666666,DENIED,True,coolant loop flow rate,coolant loop flow rate,True,False,False,DENIED
40w,haiku,control,ops_incident-009,DENIED,battery bus impedance,49,False,0.3333333333333333,DENIED,True,NONE,NONE,False,False,True,APPROVED
40w,haiku,control,ops_incident-010,APPROVED,,46,,0.6666666666666666,DENIED,False,seal torque retention,Seal torque retention,False,False,False,DENIED
40w,haiku,control,ops_incident-011,APPROVED,,51,,1.0,APPROVED,True,,,False,False,False,APPROVED
40w,haiku,control,ops_incident-012,APPROVED,,60,,0.6666666666666666,DENIED,False,telemetry downlink margin,Telemetry downlink margin,False,False,False,DENIED
40w,haiku,control,ops_incident-013,APPROVED,,70,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,ops_incident-014,DENIED,particulate count,51,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
40w,haiku,control,ops_incident-015,DENIED,seal torque retention,58,False,0.3333333333333333,APPROVED,False,NONE,NONE,False,False,False,DENIED
40w,haiku,control,ops_incident-016,DENIED,coolant loop flow rate,54,True,1.0,DENIED,True,coolant loop flow rate,coolant flow,True,False,False,DENIED
40w,haiku,control,ops_incident-017,DENIED,star tracker residual,73,True,1.0,DENIED,True,star tracker residual,star tracker residual,True,False,False,DENIED
40w,haiku,control,ops_incident-018,APPROVED,,59,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,ops_incident-019,APPROVED,,55,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,ops_incident-020,APPROVED,,49,,0.6666666666666666,APPROVED,True,star tracker residual,Star tracker residual,False,False,False,DENIED
40w,haiku,control,ops_incident-021,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,ops_incident-022,DENIED,thermal blanket coverage,69,False,0.6666666666666666,APPROVED,False,thermal blanket coverage,Thermal blanket coverage,True,False,False,DENIED
40w,haiku,control,ops_incident-023,APPROVED,,54,,0.6666666666666666,DENIED,False,thermal blanket coverage,Thermal blanket coverage,False,False,False,DENIED
40w,haiku,control,ops_incident-024,DENIED,telemetry downlink margin,46,True,0.6666666666666666,DENIED,True,telemetry downlink margin,telemetry downlink margin,True,False,False,DENIED
40w,haiku,control,ops_incident-025,APPROVED,,62,,0.6666666666666666,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,control,ops_incident-026,DENIED,gyro drift rate,51,False,0.6666666666666666,DENIED,True,gyro drift rate,Gyro drift rate,True,False,False,DENIED
40w,haiku,control,ops_incident-027,DENIED,battery bus impedance,53,True,0.6666666666666666,DENIED,True,battery bus impedance,Battery bus impedance,True,False,False,APPROVED
40w,haiku,control,ops_incident-028,DENIED,star tracker residual,48,True,0.6666666666666666,DENIED,True,star tracker residual,star tracker residual,True,False,False,APPROVED
40w,haiku,control,ops_incident-029,APPROVED,,55,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,control,clinical_enroll-000,DENIED,systolic blood pressure,49,True,1.0,DENIED,True,systolic blood pressure,systolic blood pressure,True,False,False,APPROVED
40w,haiku,control,clinical_enroll-001,DENIED,triglycerides,42,True,1.0,DENIED,True,triglycerides,triglycerides,True,False,False,DENIED
40w,haiku,control,clinical_enroll-002,DENIED,systolic blood pressure,47,True,1.0,DENIED,True,systolic blood pressure,systolic blood pressure,True,False,False,DENIED
