item,domain,truth,failing_param,summary_words,ret_policy,fail_retained,any_policy_lost,gist_flag,decision,decision_correct,which,which_raw,which_abstain,which_abstain_raw,which_correct,which_confab,abstained,which_abstain_correct,repair_param,repair_ok,nn_decision,nn_param,nn_decision_correct,nn_param_correct
v3item10,vaccine lot release,APPROVED,,44,1.0,,False,True,DENIED,False,adjuvant concentration ratio,adjuvant concentration ratio,NONE,NONE,False,True,False,True,adjuvant concentration ratio,False,,,False,False
v3item11,bridge load test,APPROVED,,50,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,load distribution factor,True,,,False,False
v3item12,satellite launch,APPROVED,,36,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,backup battery charge,True,,,False,False
v3item13,chemical batch release,DENIED,particulate count index,48,1.0,True,False,False,DENIED,True,particulate count index,particulates,particulate count index,particulates,True,False,False,True,particulate count index,True,,NONE,False,False
v3item14,rail switch deployment,APPROVED,,44,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,actuator response latency,True,,,False,False
v3item15,data-center failover,APPROVED,,48,1.0,,False,True,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,UPS reserve charge,True,,,False,False
v3item16,vaccine lot release,APPROVED,,42,0.3333333333333333,,True,True,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,diluent conductivity,True,,,False,False
v3item17,bridge load test,APPROVED,,47,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,grout compressive margin,True,DENIED,NONE,False,True
v3item18,satellite launch,APPROVED,,56,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,thermal blanket coverage,True,DENIED,NONE,False,True
v3item19,chemical batch release,DENIED,reactor jacket temperature,44,0.6666666666666666,True,True,False,DENIED,True,reactor jacket temperature,jacket,reactor jacket temperature,jacket,True,False,False,True,reactor jacket temperature,True,,,False,False
v3item20,rail switch deployment,APPROVED,,52,1.0,,False,True,DENIED,False,ballast compaction index,ballast compaction index,ballast compaction index,ballast compaction index,False,True,False,False,ballast compaction index,False,,NONE,False,True
v3item21,data-center failover,DENIED,replication lag,54,1.0,True,False,True,DENIED,True,replication lag,replication lag,replication lag,replication lag,True,False,False,True,replication lag,True,DENIED,battery string impedance,True,False
v3item22,vaccine lot release,APPROVED,,45,0.3333333333333333,,True,True,DENIED,False,seal torque retention,seal torque retention,seal torque retention,seal torque retention,False,True,False,False,seal torque retention,True,,,False,False
v3item23,bridge load test,DENIED,peak midspan deflection,55,1.0,True,False,False,DENIED,True,peak midspan deflection,peak midspan deflection,peak midspan deflection,peak midspan deflection,True,False,False,True,peak midspan deflection,True,,,False,False
v3item24,satellite launch,DENIED,lead operator certification rating,53,0.6666666666666666,False,True,False,APPROVED,False,NONE,NONE,NONE,NONE,False,False,False,False,star tracker residual,False,,,False,False
v3item25,chemical batch release,DENIED,nitrogen blanket pressure,39,1.0,True,False,True,DENIED,True,UNMATCHED,N₂,UNMATCHED,N₂,False,False,False,False,,False,,NONE,False,False
v3item26,rail switch deployment,APPROVED,,45,1.0,,False,True,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,point blade wear,True,,,False,False
v3item27,data-center failover,APPROVED,,64,1.0,,False,True,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,replication lag,True,,,False,False
v3item28,vaccine lot release,DENIED,fill-volume deviation,39,1.0,True,False,True,DENIED,True,fill-volume deviation,fill deviation,fill-volume deviation,fill deviation,True,False,False,True,fill-volume deviation,True,,NONE,False,False
v3item29,bridge load test,APPROVED,,54,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,cable tension uniformity,True,DENIED,NONE,False,True
v3item30,satellite launch,APPROVED,,48,1.0,,False,False,DENIED,False,telemetry downlink margin,telemetry downlink margin,telemetry downlink margin,telemetry downlink margin,False,True,False,False,telemetry downlink margin,False,,,False,False
v3item31,chemical batch release,DENIED,yield efficiency,49,1.0,True,False,False,DENIED,True,yield efficiency,yield,yield efficiency,yield,True,False,False,True,yield efficiency,True,,NONE,False,False
v3item32,rail switch deployment,DENIED,point blade wear,50,1.0,True,False,False,DENIED,True,point blade wear,blade wear,point blade wear,blade wear,True,False,False,True,point blade wear,True,DENIED,NONE,True,False
v3item33,data-center failover,APPROVED,,29,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,False,chilled water supply temperature,False,,,False,False
v3item34,vaccine lot release,APPROVED,,46,0.3333333333333333,,True,True,DENIED,False,adjuvant concentration ratio,adjuvant concentration ratio,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,True,False,adjuvant concentration ratio,False,,NONE,False,True
v3item35,bridge load test,DENIED,concrete core strength,59,1.0,True,False,False,DENIED,True,concrete core strength,concrete core strength,concrete core strength,concrete core strength,True,False,False,True,concrete core strength,True,DENIED,concrete core strength,True,True
v3item36,satellite launch,APPROVED,,56,1.0,,False,True,APPROVED,True,guidance regression pass rate,guidance pass,NONE,NONE,False,True,False,True,guidance regression pass rate,True,,,False,False
v3item37,chemical batch release,DENIED,yield efficiency,33,0.3333333333333333,True,True,False,DENIED,True,yield efficiency,yield,yield efficiency,yield,True,False,False,True,yield efficiency,True,,,False,False
v3item38,rail switch deployment,DENIED,switch throw force,55,1.0,True,False,True,DENIED,True,switch throw force,throw force,switch throw force,throw force,True,False,False,True,switch throw force,True,,,False,False
v3item39,data-center failover,DENIED,generator fuel reserve,59,1.0,True,False,True,DENIED,True,generator fuel reserve,fuel,generator fuel reserve,fuel,True,False,False,True,generator fuel reserve,True,,NONE,False,False
