item,domain,truth,nfail,cf_truth,cf_flips,summary_words,ret_policy,ret_nonpolicy,lost_any_policy,cf_param_retained,determinable,gist_leak,answer_full,answer_comp,cf_comp,abstain_comp,full_witness,comp_witness,full_correct,comp_correct,cf_correct,abstained,debt,confabulated
v2item44,rail switch deployment,APPROVED,0,DENIED,True,40,0.6666666666666666,0.8888888888888888,True,False,False,True,APPROVED,APPROVED,DENIED,APPROVED,1.0,0.6666666666666666,True,True,True,False,True,True
v2item45,data-center failover,APPROVED,0,DENIED,True,48,0.0,0.1111111111111111,True,False,False,True,APPROVED,APPROVED,DENIED,APPROVED,1.0,0.0,True,True,True,False,True,True
v2item46,vaccine lot release,DENIED,1,APPROVED,True,42,1.0,0.8888888888888888,False,True,True,False,DENIED,DENIED,DENIED,DENIED,0.3333333333333333,1.0,True,True,False,False,False,False
v2item47,bridge load test,DENIED,3,DENIED,False,56,0.6666666666666666,1.0,True,True,True,True,DENIED,DENIED,DENIED,DENIED,1.0,0.6666666666666666,True,True,True,False,True,False
v2item48,satellite launch,DENIED,1,APPROVED,True,50,1.0,1.0,False,True,True,False,DENIED,DENIED,DENIED,DENIED,1.0,1.0,True,True,False,False,False,False
v2item49,chemical batch release,DENIED,1,APPROVED,True,44,1.0,0.8888888888888888,False,True,True,False,DENIED,DENIED,DENIED,DENIED,1.0,1.0,True,True,False,False,False,False
v2item50,rail switch deployment,APPROVED,0,DENIED,True,46,0.3333333333333333,0.5555555555555556,True,False,False,False,APPROVED,APPROVED,DENIED,APPROVED,1.0,0.3333333333333333,True,True,True,False,True,True
v2item51,data-center failover,APPROVED,0,DENIED,True,55,1.0,1.0,False,True,True,False,APPROVED,APPROVED,DENIED,APPROVED,1.0,1.0,True,True,True,False,False,False
v2item52,vaccine lot release,APPROVED,0,APPROVED,False,47,1.0,1.0,False,True,True,False,APPROVED,APPROVED,APPROVED,APPROVED,1.0,1.0,True,True,True,False,False,False
v2item53,bridge load test,DENIED,3,DENIED,False,48,1.0,1.0,False,True,True,False,DENIED,DENIED,DENIED,DENIED,1.0,1.0,True,True,True,False,False,False
v2item54,satellite launch,APPROVED,0,APPROVED,False,38,1.0,0.6666666666666666,False,True,True,False,APPROVED,APPROVED,APPROVED,APPROVED,1.0,1.0,True,True,True,False,False,False
v2item55,chemical batch release,DENIED,1,APPROVED,True,44,0.6666666666666666,0.5555555555555556,True,True,True,False,DENIED,DENIED,DENIED,DENIED,0.3333333333333333,0.6666666666666666,True,True,False,False,True,False
v2item56,rail switch deployment,APPROVED,0,DENIED,True,50,1.0,0.8888888888888888,False,True,True,False,APPROVED,APPROVED,DENIED,APPROVED,1.0,1.0,True,True,True,False,False,False
v2item57,data-center failover,APPROVED,0,DENIED,True,54,1.0,1.0,False,True,True,False,APPROVED,APPROVED,DENIED,APPROVED,1.0,1.0,True,True,True,False,False,False
v2item58,vaccine lot release,APPROVED,0,APPROVED,False,42,1.0,0.7777777777777778,False,True,True,False,APPROVED,APPROVED,APPROVED,APPROVED,1.0,1.0,True,True,True,False,False,False
v2item59,bridge load test,DENIED,3,DENIED,False,58,1.0,0.8888888888888888,False,True,True,False,DENIED,DENIED,DENIED,DENIED,1.0,1.0,True,True,True,False,False,False
